Latitude,Longitude,count
40.498905363,-74.24153665,6
40.498957012,-74.244366592,1
40.49895701200006,-74.24436659199995,1
40.499025362,-74.240598625,10
40.499142788,-74.243486342,1
40.49940083200005,-74.24217486999999,1
40.49962459100004,-74.23887486499996,1
40.49966718,-74.240823865,2
40.499850235,-74.239918416,1
40.499850235000046,-74.23991841599997,2
40.499941761,-74.239465689,2
40.499947543,-74.238005864,4
40.500033284,-74.23901296,1
40.50003328400004,-74.23901295999997,2
40.50005352,-74.237197213,1
40.50005352000005,-74.23719721299993,3
40.500124805,-74.238560231,1
40.500215976,-74.244795485,1
40.50021597600005,-74.24479548499994,1
40.500390768,-74.243918773,17
40.500390768000045,-74.24391877299998,2
40.500390768000045,-74.24391877299996,2
40.500425539,-74.236486584,1
40.50042553900005,-74.23648658399996,1
40.500562792,-74.24304924,1
40.50056279200004,-74.24304923999993,1
40.50066756800004,-74.24922705999995,2
40.5007376,-74.242158137,8
40.50073760000004,-74.24215813699995,2
40.50073760000004,-74.24215813699993,2
40.500773188,-74.23694447,3
40.500917922,-74.241252666,8
40.50091792200004,-74.24125266599998,1
40.501024789,-74.237391232,3
40.50110098,-74.2403472,14
40.50110098000005,-74.24034719999997,2
40.50128128,-74.239445316,8
40.50128128000005,-74.23944531599993,1
40.50128128000006,-74.23944531599993,1
40.50128895,-74.246198159,1
40.50138057600003,-74.24570947499996,2
40.501464332,-74.238536244,9
40.50146433200007,-74.238536244,5
40.50155547400004,-74.24478600599997,1
40.501638753,-74.244347627,1
40.501761594,-74.23814177,8
40.50176159400007,-74.23814176999997,6
40.501808044,-74.243474472,2
40.501840908,-74.234280186,2
40.501927704,-74.233442673,1
40.501982238,-74.249275111,10
40.50198223800004,-74.24927511099997,1
40.50198223800004,-74.24927511099996,3
40.501985585,-74.242590555,1
40.502130121,-74.23779429,13
40.50213012100005,-74.23779428999995,2
40.502162562,-74.248394812,4
40.50216256200008,-74.24839481199997,2
40.502181016,-74.237075312,7
